Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
52	00:18:02	00:18:02	00:18:02	00:18:02	00:18:02	00:18:02			00:18:02	00:18:02	00:18:02	00:18:02	00:18:04	00:18:04	00:18:04	00:18:04	00:18:04	00:18:04			00:18:04	00:18:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
53	00:18:05	00:18:05	00:18:05	00:18:05	00:18:05	00:18:05			00:18:05	00:18:05	00:18:05	00:18:05	00:18:07	00:18:07	00:18:07	00:18:07	00:18:07	00:18:07			00:18:08	00:18:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
54	00:18:09	00:18:09	00:18:09	00:18:09	00:18:09	00:18:09			00:18:09	00:18:09	00:18:09	00:18:09	00:18:10	00:18:10	00:18:10	00:18:10	00:18:10	00:18:10			00:18:11	00:18:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
55	00:18:11	00:18:11	00:18:11	00:18:11	00:18:11	00:18:11			00:18:11	00:18:11	00:18:11	00:18:11	00:18:13	00:18:13	00:18:13	00:18:13	00:18:13	00:18:13			00:18:14	00:18:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
56	00:18:14	00:18:14	00:18:14	00:18:14	00:18:14	00:18:14			00:18:14	00:18:14	00:18:14	00:18:14	00:18:16	00:18:16	00:18:16	00:18:16	00:18:16	00:18:16			00:18:17	00:18:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
57	00:18:17	00:18:17	00:18:17	00:18:17	00:18:17	00:18:17			00:18:17	00:18:17	00:18:17	00:18:17	00:18:19	00:18:19	00:18:19	00:18:19	00:18:19	00:18:19			00:18:20	00:18:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
58	00:18:20	00:18:20	00:18:20	00:18:20	00:18:20	00:18:20			00:18:20	00:18:20	00:18:20	00:18:20	00:18:22	00:18:22	00:18:22	00:18:22	00:18:22	00:18:22			00:18:24	00:18:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
59	00:18:24	00:18:24	00:18:24	00:18:24	00:18:24	00:18:24			00:18:24	00:18:24	00:18:24	00:18:24	00:18:26	00:18:26	00:18:26	00:18:26	00:18:26	00:18:26			00:18:27	00:18:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
60	00:18:27	00:18:27	00:18:27	00:18:27	00:18:27	00:18:27			00:18:27	00:18:27	00:18:27	00:18:27	00:18:29	00:18:29	00:18:29	00:18:29	00:18:29	00:18:29	00:18:29	00:18:29	00:18:30	00:18:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
61	00:18:30	00:18:30	00:18:30	00:18:30	00:18:30	00:18:30			00:18:30	00:18:30	00:18:30	00:18:30	00:18:32	00:18:32	00:18:32	00:18:32	00:18:32	00:18:32			00:18:33	00:18:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
62	00:18:33	00:18:33	00:18:33	00:18:33	00:18:33	00:18:33			00:18:33	00:18:33	00:18:33	00:18:33	00:18:35	00:18:35	00:18:35	00:18:35	00:18:35	00:18:35			00:18:36	00:18:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
63	00:18:36	00:18:36	00:18:36	00:18:36	00:18:36	00:18:36			00:18:36	00:18:36	00:18:36	00:18:36	00:18:37	00:18:37	00:18:37	00:18:37	00:18:37	00:18:37			00:18:38	00:18:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
64	00:18:39	00:18:39	00:18:39	00:18:39	00:18:39	00:18:39			00:18:39	00:18:39	00:18:39	00:18:39	00:18:40	00:18:40	00:18:40	00:18:40	00:18:40	00:18:40			00:18:41	00:18:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
65	00:18:41	00:18:41	00:18:41	00:18:41	00:18:41	00:18:41			00:18:41	00:18:41	00:18:41	00:18:41	00:18:43	00:18:43	00:18:43	00:18:43	00:18:43	00:18:43			00:18:44	00:18:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
66	00:18:44	00:18:44	00:18:44	00:18:44	00:18:44	00:18:44			00:18:44	00:18:44	00:18:44	00:18:44	00:18:46	00:18:46	00:18:46	00:18:46	00:18:46	00:18:46			00:18:47	00:18:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
67	00:18:47	00:18:47	00:18:47	00:18:47	00:18:47	00:18:47			00:18:47	00:18:47	00:18:47	00:18:47	00:18:49	00:18:49	00:18:49	00:18:49	00:18:49	00:18:49			00:18:49	00:18:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
68	00:18:49	00:18:49	00:18:49	00:18:49	00:18:50	00:18:50			00:18:50	00:18:50	00:18:50	00:18:50	00:18:51	00:18:51	00:18:51	00:18:51	00:18:51	00:18:51			00:18:52	00:18:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
69	00:18:52	00:18:52	00:18:52	00:18:52	00:18:52	00:18:52			00:18:52	00:18:52	00:18:52	00:18:52	00:18:54	00:18:54	00:18:54	00:18:54	00:18:54	00:18:54			00:18:54	00:18:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
70	00:18:55	00:18:55	00:18:55	00:18:55	00:18:55	00:18:55			00:18:55	00:18:55	00:18:55	00:18:55	00:18:56	00:18:56	00:18:56	00:18:56	00:18:56	00:18:56	00:18:56	00:18:56	00:18:57	00:18:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
71	00:18:57	00:18:57	00:18:57	00:18:57	00:18:57	00:18:57			00:18:57	00:18:57	00:18:57	00:18:57	00:18:59	00:18:59	00:18:59	00:18:59	00:18:59	00:18:59			00:19:00	00:19:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
72	00:19:00	00:19:00	00:19:00	00:19:00	00:19:00	00:19:00			00:19:00	00:19:00	00:19:00	00:19:00	00:19:02	00:19:02	00:19:02	00:19:02	00:19:02	00:19:02			00:19:03	00:19:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
73	00:19:03	00:19:03	00:19:03	00:19:03	00:19:03	00:19:03			00:19:03	00:19:03	00:19:03	00:19:03	00:19:05	00:19:05	00:19:05	00:19:05	00:19:05	00:19:05			00:19:06	00:19:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
74	00:19:07	00:19:07	00:19:07	00:19:07	00:19:07	00:19:07			00:19:07	00:19:07	00:19:07	00:19:07	00:19:09	00:19:09	00:19:09	00:19:09	00:19:09	00:19:09			00:19:10	00:19:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
75	00:19:10	00:19:10	00:19:10	00:19:10	00:19:10	00:19:10			00:19:10	00:19:10	00:19:10	00:19:10	00:19:11	00:19:11	00:19:12	00:19:12	00:19:12	00:19:12			00:19:12	00:19:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
